# event No.,GOES start,end,peak,AR location,X-ray class,event loc. (EW),event loc. (NS),SOT,XRT,EIS,RHESSI,NoRH
109120,2014/08/01 00:12,2014/08/01 00:32,2014/08/01 00:18,S17E60,C8.6,-795,-324,0,0,0,no,
109130,2014/08/01 10:38,2014/08/01 11:57,2014/08/01 11:43,S09E37,C4.8,-561,-147,0,144,0,no,
109140,2014/08/01 14:43,2014/08/01 14:57,2014/08/01 14:48,S09E35,M2.0,-535,-147,0,20,0,no,
109150,2014/08/01 17:55,2014/08/01 18:48,2014/08/01 18:13,S10E11,M1.5,-185,-257,136,108,2,no,
109160,2014/08/02 00:00,2014/08/02 00:09,2014/08/02 00:05,S11E32,C2.6,-503,-223,0,64,0,no,
109170,2014/08/02 10:43,2014/08/02 10:57,2014/08/02 10:47,S19E44,C1.6,-598,-398,0,0,0,no,
109180,2014/08/02 13:00,2014/08/02 13:06,2014/08/02 13:03,S18E40,C1.6,-557,-380,0,21,0,no,
109190,2014/08/02 13:12,2014/08/02 13:38,2014/08/02 13:28,S18E40,C2.7,-596,-366,0,81,0,no,
109200,2014/08/03 01:40,2014/08/03 01:53,2014/08/03 01:46,N09E69,C2.3,-871,147,0,16,0,no,
109210,2014/08/03 02:35,2014/08/03 02:47,2014/08/03 02:39,N09E71,C1.3,-884,151,0,24,0,no,
109220,2014/08/03 03:03,2014/08/03 03:27,2014/08/03 03:12,S21E43,C2.5,-627,-387,0,9,0,no,
109230,2014/08/03 06:13,2014/08/03 06:23,2014/08/03 06:16,S19E33,C1.1,-492,-404,0,0,0,no,
109240,2014/08/03 12:14,2014/08/03 12:23,2014/08/03 12:19,S07W88,C1.0,945,-128,0,0,0,no,
109250,2014/08/03 17:59,2014/08/03 18:36,2014/08/03 18:08,S05E14,C1.2,-233,-192,0,18,0,no,
109260,2014/08/03 19:23,2014/08/03 19:55,2014/08/03 19:39,S24E25,C1.1,-372,-467,0,0,0,no,
109270,2014/08/04 00:46,2014/08/04 01:01,2014/08/04 00:53,S06W89,C3.4,945,-106,0,0,0,no,
109280,2014/08/04 02:44,2014/08/04 02:59,2014/08/04 02:53,N10E58,C2.1,-784,120,0,0,0,no,
109290,2014/08/04 17:14,2014/08/04 17:31,2014/08/04 17:21,S05W12,C1.2,205,-189,0,0,0,no,
109300,2014/08/04 21:45,2014/08/04 22:14,2014/08/04 22:02,S19E19,C1.0,-299,-405,0,0,0,no,
109310,2014/08/04 22:54,2014/08/04 23:02,2014/08/04 22:58,S19E06,B9.8,-99,-415,0,0,0,no,
109320,2014/08/05 11:25,2014/08/05 11:34,2014/08/05 11:30,S18E01,C1.7,7,-409,0,0,0,no,
109330,2014/08/05 14:12,2014/08/05 14:23,2014/08/05 14:18,S19W01,C2.2,25,-402,0,0,0,no,
109340,2014/08/05 15:38,2014/08/05 16:16,2014/08/05 15:40,N14E52,C1.1,-730,135,0,0,0,no,
109350,2014/08/05 20:22,2014/08/05 20:31,2014/08/05 20:27,S18W01,C2.5,26,-393,2,0,0,no,
109360,2014/08/06 03:30,2014/08/06 03:50,2014/08/06 03:39,S17W07,C1.7,105,-409,16,0,4,no,
109370,2014/08/07 03:05,2014/08/07 03:17,2014/08/07 03:09,S18W19,B7.7,306,-395,14,0,2,no,
109380,2014/08/07 05:49,2014/08/07 05:54,2014/08/07 05:52,S09W44,C1.1,641,-226,0,0,0,no,
109390,2014/08/07 16:57,2014/08/07 17:49,2014/08/07 17:28,N11E54,C1.4,-753,135,0,0,0,no,
109400,2014/08/07 22:23,2014/08/07 23:23,2014/08/07 22:56,S20W28,C2.2,429,-419,67,152,11,no,
109410,2014/08/08 11:27,2014/08/08 11:35,2014/08/08 11:33,N13E48,C1.8,-692,117,0,0,0,no,
109420,2014/08/08 12:51,2014/08/08 13:13,2014/08/08 12:58,S25W33,C1.2,495,-449,0,0,0,no,
109430,2014/08/08 13:59,2014/08/08 14:18,2014/08/08 14:10,S19W37,C1.0,567,-353,0,0,0,no,
109440,2014/08/08 16:57,2014/08/08 17:03,2014/08/08 17:01,N13E44,C4.5,-650,119,0,0,0,no,
109450,2014/08/09 02:40,2014/08/09 02:50,2014/08/09 02:44,N12E38,B8.8,-573,107,0,0,0,no,
109460,2014/08/09 03:23,2014/08/09 03:30,2014/08/09 03:26,N12E38,B8.3,-555,99,0,0,0,no,
